xi,method,calculation_sha,T_MeV,stage_a_status,stage_b_status,stage_c_status,stage_used,upgrade_reason,result_status,raw_status,geometry_converged,position_error_MeV,density_error,maxwell_area_gate,area_residual,rho_hadron,rho_quark,mu_transition_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,support_low,support_high,support_mu_low,support_mu_high,guard_status,guard_reason,guard_source,certificate_type,endpoint_lower_bound,endpoint_upper_bound,endpoint_interpolated_rho_hadron,endpoint_anchor_rho,endpoint_refinement_count,endpoint_failure_reason,endpoint_route_kind,endpoint_left_bracket_low,endpoint_left_bracket_high,endpoint_right_bracket_low,endpoint_right_bracket_high,maxwell_candidate_count,maxwell_crossing_count,maxwell_endpoint_dependent,support_point_count,targeted_additions,stage_c_targeted_additions,unique_solves,point_requests,cache_hits,finite_and_converged,solver_failure_count,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,0.024995190837330483,0.0008265363824455196,2.4000469826225568e-6,2.4000469826225568e-6,0.0008715512133111146,2.80374756409539,331.5505602459964,372.76019724699586,301.0138052550355,0.10501143759851464,1.8607416832482775,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,true,0,0,0,1281,1922,641,true,0,confirmed_first_order,confirmed_first_order,confirmed_first_order,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,0.009702390460915922,0.0014135496947476002,2.9529922836964623e-6,2.3342188424006135e-7,0.0014661887793320544,2.799292041348966,330.82698140847197,370.3246496284388,300.69666103807185,0.14957649122996872,1.8660763866595897,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,true,0,0,0,1281,1922,641,true,0,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,deep_oracle
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,60.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,0.0004694786417758223,8.235493772908165e-5,3.373978975869591e-6,1.9648211856225026e-6,0.032901275500992505,2.7854521897181606,322.2141648464248,351.3843172481384,296.19995074211073,0.34525466842248154,1.9371951090285622,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,false,0,0,0,1281,1922,641,true,0,confirmed_first_order,,confirmed_first_order,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,100.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,6.01546369694006e-5,1.2813585897331059e-5,3.427343135581421e-6,3.427343135581421e-6,0.2308561945508085,2.866820487452089,294.05288963603493,309.19670352861664,277.7093853618385,0.7007237232287921,2.1898402087884437,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,false,0,0,0,1281,1922,641,true,0,confirmed_first_order,,confirmed_first_order,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,130.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,5.532142438369192e-6,7.190334593065728e-6,1.5190641945303374e-6,1.2473463408397051e-6,0.8111084501764207,2.889205938299623,245.59254070805054,249.89183358080908,240.17813326565295,1.2996029654704158,2.490007626140614,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,false,0,0,0,1281,1922,641,true,0,confirmed_first_order,,confirmed_first_order,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,147.0947265625,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,1.181465137278792e-6,0.00038591805018528547,1.6875522733762618e-9,3.502624229698369e-10,2.201213867261789,2.2586564950559955,202.24673663430752,202.24685005286508,202.24662187747788,2.2134809791038967,2.246598895382661,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,false,0,0,0,1281,1922,641,true,0,confirmed_first_order,,confirmed_first_order,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,147.2197265625,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_monotone,invalid,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,0,0,false,0,0,0,1281,1922,641,true,0,confirmed_monotone,,confirmed_monotone,standard
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,160.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_monotone,invalid,true,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,0,0,false,0,0,0,1281,1922,641,true,0,confirmed_monotone,,confirmed_monotone,standard
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,0.003605117658821655,0.0013083467969123984,2.8891638538754605e-6,2.8891638538754605e-6,0.0013803225214286212,2.504456479111704,361.0338981018079,378.5232458020969,346.4862765170751,0.23198031771840597,1.8897696470165894,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,true,0,0,0,1281,1922,641,true,0,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,deep_oracle
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,not_run,not_run,not_run,uniform_nested,not_applicable,confirmed_first_order,valid,true,0.0006918993332192258,0.0005188525064090364,4.273984316240879e-6,1.9742809613618607e-6,0.00924391831196587,2.4994974550682056,360.39784304787133,377.366265786824,346.2045166180525,0.26029839506472396,1.8932911320670054,NaN,NaN,NaN,NaN,not_run,not_applicable,,none,NaN,NaN,NaN,NaN,0,not_applicable,none,NaN,NaN,NaN,NaN,1,3,false,0,0,0,1281,1922,641,true,0,confirmed_first_order,,confirmed_first_order,standard
