xi,T_MeV,cap,oracle_status,result_status,reason,stage_used,stage_a_status,stage_b_status,stage_c_status,guard_status,guard_reason,guard_low,guard_high,support_mu_low,support_mu_high,stage_c_point_count,unique_solves,stable_candidate
0.0,5.0,24,ambiguous_near_critical,confirmed_first_order,extrema_guard_stage_c_certificate,stage_c,ambiguous_near_critical,ambiguous_near_critical,confirmed_first_order,ok,first_strict_outer_samples,0.0,2.94375,346.4862781665386,378.5232498832685,24,665,true
0.0,20.0,24,confirmed_first_order,confirmed_first_order,extrema_guard_stage_c_certificate,stage_c,ambiguous_near_critical,ambiguous_near_critical,confirmed_first_order,ok,first_strict_outer_samples,0.0,2.93125,346.2045168259716,377.36625459927126,24,665,true
0.0,60.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,ambiguous_near_critical,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.0,100.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.0,120.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.0,130.9619140625,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,ambiguous_near_critical,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.0,131.0869140625,24,confirmed_monotone,confirmed_monotone,stage_a_monotone_certificate,stage_a,confirmed_monotone,not_run,not_run,not_run,stage_a_certificate,,,,,0,93,true
0.0,145.0,24,confirmed_monotone,confirmed_monotone,stage_a_monotone_certificate,stage_a,confirmed_monotone,not_run,not_run,not_run,stage_a_certificate,,,,,0,99,true
0.5,5.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,20.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,60.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,90.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,100.0,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,confirmed_first_order,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,106.9599609375,24,confirmed_first_order,confirmed_first_order,stage_b_certificate,stage_b,ambiguous_near_critical,confirmed_first_order,not_run,not_run,stage_b_certificate,,,,,0,641,true
0.5,107.0849609375,24,confirmed_monotone,confirmed_monotone,stage_a_monotone_certificate,stage_a,confirmed_monotone,not_run,not_run,not_run,stage_a_certificate,,,,,0,93,true
0.5,120.0,24,confirmed_monotone,confirmed_monotone,stage_a_monotone_certificate,stage_a,confirmed_monotone,not_run,not_run,not_run,stage_a_certificate,,,,,0,95,true
-0.5,5.0,48,ambiguous_near_critical,ambiguous_near_critical,missing_left_strict_outer_sample,stage_c,ambiguous_near_critical,ambiguous_near_critical,ambiguous_near_critical,ambiguous_near_critical,missing_left_strict_outer_sample,,,301.01381021077134,372.7601712892519,0,641,true
