xi,T_MeV,cap,status,reason,guard_low,guard_high,guard_low_mu,guard_high_mu,mu_low,mu_high,rho_spinodal_low,rho_spinodal_high,low_strict_margin,high_strict_margin,strict_order
-0.5,20.0,48,ok,first_strict_outer_samples,0.0,3.95625,94.031838,370.405317,300.6966676837032,370.32464021761245,0.14965311172558018,1.8660819823019734,206.6648296837032,0.08067678238757026,true
-0.5,60.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,100.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,130.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.0947265625,48,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.2197265625,48,not_run,stage_a_certificate,,,,,,,,,,,true
-0.5,160.0,48,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,5.0,48,ok,first_strict_outer_samples,0.0,2.94375,318.261865,378.581902,346.4862781665386,378.5232498832685,0.2320196854441085,1.889764300847472,28.224413166538625,0.05865211673153681,true
0.0,20.0,48,ok,first_strict_outer_samples,0.0,2.93125,103.659128,377.614612,346.2045168259716,377.36625459927126,0.2603180780407228,1.8932838083687076,242.5453888259716,0.24835740072876433,true
0.0,60.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,100.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,120.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,130.9619140625,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,131.0869140625,48,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,145.0,48,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,5.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,20.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,60.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,90.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,100.0,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,106.9599609375,48,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,107.0849609375,48,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,120.0,48,not_run,stage_a_certificate,,,,,,,,,,,true
-0.5,5.0,96,ambiguous_near_critical,missing_left_strict_outer_sample,,,,,301.01381021077134,372.7601712892519,0.10507924498247385,1.8607507710100377,,,true
-0.5,20.0,96,ok,first_strict_outer_samples,0.0,3.95625,94.031838,370.405317,300.6966676837032,370.32464021761245,0.14965311172558018,1.8660819823019734,206.6648296837032,0.08067678238757026,true
-0.5,60.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,100.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,130.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.0947265625,96,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.2197265625,96,not_run,stage_a_certificate,,,,,,,,,,,true
-0.5,160.0,96,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,5.0,96,ok,first_strict_outer_samples,0.0,2.94375,318.261865,378.581902,346.4862781665386,378.5232498832685,0.2320196854441085,1.889764300847472,28.224413166538625,0.05865211673153681,true
0.0,20.0,96,ok,first_strict_outer_samples,0.0,2.93125,103.659128,377.614612,346.2045168259716,377.36625459927126,0.2603180780407228,1.8932838083687076,242.5453888259716,0.24835740072876433,true
0.0,60.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,100.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,120.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,130.9619140625,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,131.0869140625,96,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,145.0,96,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,5.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,20.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,60.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,90.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,100.0,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,106.9599609375,96,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,107.0849609375,96,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,120.0,96,not_run,stage_a_certificate,,,,,,,,,,,true
-0.5,5.0,160,ambiguous_near_critical,missing_left_strict_outer_sample,,,,,301.01381021077134,372.7601712892519,0.10507924498247385,1.8607507710100377,,,true
-0.5,20.0,160,ok,first_strict_outer_samples,0.0,3.95625,94.031838,370.405317,300.6966676837032,370.32464021761245,0.14965311172558018,1.8660819823019734,206.6648296837032,0.08067678238757026,true
-0.5,60.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,100.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,130.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.0947265625,160,not_run,stage_b_certificate,,,,,,,,,,,true
-0.5,147.2197265625,160,not_run,stage_a_certificate,,,,,,,,,,,true
-0.5,160.0,160,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,5.0,160,ok,first_strict_outer_samples,0.0,2.94375,318.261865,378.581902,346.4862781665386,378.5232498832685,0.2320196854441085,1.889764300847472,28.224413166538625,0.05865211673153681,true
0.0,20.0,160,ok,first_strict_outer_samples,0.0,2.93125,103.659128,377.614612,346.2045168259716,377.36625459927126,0.2603180780407228,1.8932838083687076,242.5453888259716,0.24835740072876433,true
0.0,60.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,100.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,120.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,130.9619140625,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.0,131.0869140625,160,not_run,stage_a_certificate,,,,,,,,,,,true
0.0,145.0,160,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,5.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,20.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,60.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,90.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,100.0,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,106.9599609375,160,not_run,stage_b_certificate,,,,,,,,,,,true
0.5,107.0849609375,160,not_run,stage_a_certificate,,,,,,,,,,,true
0.5,120.0,160,not_run,stage_a_certificate,,,,,,,,,,,true
