# production_case: first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1
# source_candidate_case: p128_xi001_onshellkernel_localdispatch_20260715
# source_sharded_action_runs: see convergence/production_download_manifest.csv
# git_commit: 05be2c05186f8e12baf3097b68f8619e53d19711
# script: scripts/relaxtime/run_phase_guided_transport_scan.jl
# title: phase_guided_transport_scan
T_MeV,muq_MeV,muB_MeV,xi,mode,phase_reference_kind,scan_group,group_label,plot_panel,plot_panel_label,plot_series,plot_series_label,T_phase_base_MeV,alpha_T,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s,quality_flag,quality_reason,quality_metric,run_id
120.0,0.0,0.0,-0.5,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.3938109973402607e-10,models,phase_aware_default_hadron,unknown,hadron,first_order_possible,-0.5,0.01716628543660906,0.017166285436260895,1.8600541012263234,1.8600541012263234,2.7828116637075984,1.3657243015894697e-14,8.535776884934185e-14,-21.609279277822512,21.609279277822512,-21.593550946670135,0.025863534108581415,-4264.093828513009,4264.093828513009,-4260.990204419979,-631.8909529668675,0.0009217873255020327,0.0009217873255020327,0.0003050411773926536,0.0009217873254845994,0.0009217873254845994,0.0003050411773865485,1004.5073411217373,1004.5073411217373,1220.8671842020162,1004.5073411148401,1004.5073411148401,1220.867184198705,0.0009955128838414421,0.0009955128838414421,0.0008190899165281606,0.0009955128838482776,0.0009955128838482776,0.0008190899165303821,3.152677308612264,0.03194856865389276,2.220596607731204,121.89661688834003,85.85820477621499,0.05253595483812293,0.00043098780080375005,0.7043526470866946,false,ok,1.0000000000068663,20260715T075652_954b778c
120.0,0.0,0.0,-0.49,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.8822128866946144e-13,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.016987071777976707,0.016987071777976703,1.860115991995415,1.860115991995415,2.7828478091134543,3.614007241618348e-20,2.2587545260114672e-19,-21.60925427412086,21.60925427412086,-21.59384183890184,0.025344077519829433,-4264.088894608063,4264.088894608063,-4261.047605305684,-631.8925314341062,0.0009033045404737902,0.0009033045404737902,0.0002988885283960975,0.0009033045404737902,0.0009033045404737902,0.0002988885283960974,1023.9097310662224,1023.9097310662224,1242.9242094995802,1023.9097310662978,1023.9097310662978,1242.9242094995798,0.0009766485947532459,0.0009766485947532459,0.0008045542860594975,0.000976648594753174,0.000976648594753174,0.0008045542860594978,3.1153297814158973,0.03182532271588232,2.1894424358295126,122.9214114807862,86.38872076194028,0.05233329026483821,0.00042574592688449895,0.7027963616854795,false,ok,1.0000000000000737,20260715T075652_954b778c
120.0,0.0,0.0,-0.48,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.0681691238962343e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.016813230671293793,0.016813230671293793,1.8601754553683238,1.8601754553683238,2.7828825376644937,0.0,0.0,-21.609230239831533,21.609230239831533,-21.594121376032547,0.024844887256073568,-4264.084151994324,4264.084151994324,-4261.102765523596,-631.894048140049,0.0008855454606706962,0.0008855454606706962,0.0002929763846235712,0.0008855454606706962,0.0008855454606706962,0.0002929763846235712,1043.3464927716564,1043.3464927716564,1264.969736960716,1043.3464927717084,1043.3464927717084,1264.969736960716,0.0009584543648040583,0.0009584543648040583,0.0007905327461846268,0.0009584543648040106,0.0009584543648040106,0.0007905327461846268,3.07936220125486,0.03170622043876036,2.1594686468798567,123.9434966846984,86.91802963814835,0.05213743949231121,0.0004206549023297638,0.7012714015908422,false,ok,1.00000000000005,20260715T075652_954b778c
120.0,0.0,0.0,-0.47,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.0664762366097059e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.01664450296307639,0.01664450296307639,1.8602326303462204,1.8602326303462204,2.7829159302375595,0.0,0.0,-21.609207120071908,21.609207120071908,-21.59439020290637,0.024364812692600428,-4264.07958984197,4264.07958984197,-4261.155812318858,-631.8955065957674,0.0008684687157576181,0.0008684687157576181,0.00028729106005356554,0.0008684687157576181,0.0008684687157576181,0.00028729106005356554,1062.8142094624998,1062.8142094624998,1286.9708532028005,1062.8142094625857,1062.8142094625857,1286.9708532028005,0.0009408982220003749,0.0009408982220003749,0.0007770183742012223,0.0009408982220002988,0.0009408982220002988,0.0007770183742012223,3.0446841896855514,0.03159093253902112,2.130601333985306,124.96234746800329,87.4458326795333,0.05194786104954286,0.0004157081080990748,0.6997774485784518,false,ok,1.0000000000000808,20260715T075652_954b778c
120.0,0.0,0.0,-0.46,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,6.143333757428807e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.01648064634855949,0.01648064634855949,1.8602876468591343,1.8602876464137814,2.7829480624339884,0.0,0.0,-21.60918486399041,21.60918486399041,-21.594648917074256,0.0239027876018282,-4264.075198116612,4264.075198116612,-4261.206863604393,-631.8969100549592,0.0008520359990768793,0.0008520359995223914,0.0002818198753800301,0.0008520359990768793,0.0008520359995223914,0.0002818198753800301,1082.3233905688899,1082.3233905688899,1309.0269005210055,1082.323390568921,1082.323390568921,1309.0269005210055,0.0009239382690180806,0.0009239382690180806,0.0007639262413950318,0.0009239382690180539,0.0009239382690180539,0.0007639262413950318,3.011297421176345,0.03147972764053261,2.1028278140865804,125.9810140699249,87.97416640750914,0.051764996659339306,0.0004108952213276161,0.6983128930735523,false,ok,1.0000000000000289,20260715T075652_954b778c
120.0,0.0,0.0,-0.45,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.186102142214147e-13,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.5,0.01632143422851897,0.01632143422851897,1.8603406211648594,1.8603406211648608,2.7829790027436547,0.0,0.0,-21.609163424406432,21.609163424406432,-21.59489807276168,0.02345782303669429,-4264.070967508245,4264.070967508245,-4261.256028743842,-631.8982615350611,0.0008362118080440064,0.0008362118080440049,0.00027655107263221176,0.0008362118080440064,0.0008362118080440049,0.00027655107263221176,1101.868780461337,1101.868780461337,1331.1131952039705,1101.8687804614353,1101.8687804614353,1331.1131952039705,0.000907549081825618,0.000907549081825618,0.0007512509105934954,0.0009075490818255371,0.0009075490818255371,0.0007512509105934954,2.9791163675871117,0.03137224732286499,2.0760786644343825,126.99884225944494,88.50261429574441,0.05158825693819111,0.0004062104505866428,0.6968773314873462,false,ok,1.000000000000089,20260715T075652_954b778c
120.0,0.0,0.0,-0.44,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.0617945351923465e-13,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.01616665408882609,0.01616665408882609,1.860391667302388,1.8603916673023888,2.7830088170880884,0.0,0.0,-21.60914275748781,21.60914275748781,-21.59513818507999,0.023028999875235816,-4264.066889367599,4264.066889367599,-4261.303409382571,-631.8995638409662,0.000820963166570836,0.000820963166570835,0.000271473726515738,0.000820963166570836,0.000820963166570835,0.000271473726515738,1121.4512465383837,1121.4512465383837,1353.2059238788547,1121.4512465384682,1121.4512465384682,1353.2059238788547,0.0008917017151541177,0.0008917017151541177,0.0007389858279171446,0.0008917017151540505,0.0008917017151540505,0.0007389858279171446,2.948075422056605,0.031268319365842616,2.050299280085538,128.0157817546741,89.03119072445361,0.05141735868870472,0.000401648593508881,0.6954704295371216,false,ok,1.0000000000000755,20260715T075652_954b778c
120.0,0.0,0.0,-0.43,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,6.133714280960829e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.016016106718442776,0.016016106718442776,1.8604408882468486,1.860440887801292,2.7830375655387383,0.0,0.0,-21.60912282246145,21.60912282246145,-21.595369733034612,0.022615463398079964,-4264.062955649043,4264.062955649043,-4261.349100041274,-631.9008195806716,0.0008062594301059855,0.0008062594305283091,0.00026657767909906094,0.0008062594301059855,0.0008062594305283091,0.00026657767909906094,1141.070253559767,1141.070253559767,1375.3416601794625,1141.0702535599337,1141.0702535599337,1375.3416601794625,0.000876370229510695,0.000876370229510695,0.0007270920593429231,0.000876370229510567,0.000876370229510567,0.0007270920593429231,2.9181327754167734,0.03116782934249269,2.02545023034453,129.03263240958046,89.56041247938741,0.05125211374813834,0.00039720272919374275,0.6940911830357861,false,ok,1.000000000000146,20260715T075652_954b778c
120.0,0.0,0.0,-0.42,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,1.059556838534376e-10,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.015869605181414108,0.015869605181414108,1.860488376585491,1.8604883765854912,2.7830653027094527,0.0,0.0,-21.609103581353168,21.609103581353168,-21.59559316259361,0.02221641781469447,-4264.059158859246,4264.059158859246,-4261.393188721483,-631.9020311820088,0.000792072085315014,0.000792072085315014,0.0002618534743944343,0.000792072085315014,0.000792072085315014,0.0002618534743944343,1160.72401612755,1160.72401612755,1397.4827622224927,1160.7240161276607,1160.7240161276607,1397.4827622224927,0.0008615312392141559,0.0008615312392141559,0.0007155723326487733,0.0008615312392140738,0.0008615312392140738,0.0007155723326487733,2.889219194402462,0.03107053684375046,2.0014759116753753,130.04883228706038,90.0899473699829,0.05109212678986854,0.0003928687854504643,0.6927393793980777,false,ok,1.0000000000000955,20260715T075652_954b778c
120.0,0.0,0.0,-0.41,mode_b_fixed_T_sparse_muB,crossover,T120.0_muB0.0,"T=120.0 MeV, muB=0.0 MeV",T120.0,T=120.0 MeV,muB0.0,muB=0.0 MeV,120.0,NaN,0.6081276861215275,0.0,true,0,7.72565155667885e-14,models,phase_aware_continuity_hadron,hadron,hadron,first_order_possible,-0.4,0.015726973567775648,0.015726973567775648,1.8605342246287695,1.8605342246287697,2.7830920816889724,0.0,0.0,-21.609084998753403,21.609084998753403,-21.59580888979463,0.02183112076913754,-4264.055492010947,4264.055492010947,-4261.4357575186505,-631.9032009102211,0.0007783745458897042,0.000778374545889704,0.0002572922931614825,0.0007783745458897042,0.000778374545889704,0.0002572922931614825,1180.4146600010006,1180.4146600010006,1419.666877852916,1180.4146600010758,1180.4146600010758,1419.666877852916,0.0008471599293752861,0.0008471599293752861,0.0007043905972592569,0.000847159929375232,0.000847159929375232,0.0007043905972592569,2.8613045891955555,0.0309764125882734,1.9783462403161969,131.06540060190386,90.6204615528932,0.05093734966390449,0.00038864070479302813,0.6914140660824932,false,ok,1.0000000000000637,20260715T075652_954b778c
