# git_commit: f196bce86483267108100538d0befbf4ca99803a
# script: scripts/relaxtime/run_gap_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/scan/_bugprobe_triplet_fwd.csv
# title: gap_transport_scan_channel_diagnostics
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
190.0,0.0,0.0,-0.12,u,uu_to_uu,u,1.0,0.2556118637667511,0.16083782350835138,0.04111205583115747,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,ud_to_ud,u,1.0,0.2556118637667511,0.2078053066197913,0.053117501725706034,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,uubar_to_uubar,ubar,1.0,0.2556118637667511,0.5834421624000647,0.14913473853118403,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,uubar_to_ddbar,ubar,1.0,0.2556118637667511,0.3827871016359475,0.09784492447503731,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,uubar_to_ssbar,ubar,1.0,0.2556118637667511,0.032308481024277184,0.008258431050088203,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,udbar_to_udbar,ubar,1.0,0.2556118637667511,0.318066865243327,0.08130166422729489,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,us_to_us,s,1.0,0.12838423957189724,0.19976269440720384,0.025646381616302154,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,u,usbar_to_usbar,sbar,1.0,0.12838423957189724,0.24725528688506562,0.03174368198687044,0.48815937944364063,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,uu_to_uu,d,1.0,0.25561186376675105,0.16083782350835138,0.041112055831157464,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,ud_to_ud,d,1.0,0.25561186376675105,0.2078053066197913,0.05311750172570602,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,uubar_to_uubar,dbar,1.0,0.25561186376675105,0.5834421624000647,0.149134738531184,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,uubar_to_ddbar,dbar,1.0,0.25561186376675105,0.3827871016359475,0.09784492447503729,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,uubar_to_ssbar,dbar,1.0,0.25561186376675105,0.032308481024277184,0.008258431050088201,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,udbar_to_udbar,dbar,1.0,0.25561186376675105,0.318066865243327,0.08130166422729486,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,us_to_us,s,1.0,0.12838423957189724,0.19976269440720384,0.025646381616302154,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,d,usbar_to_usbar,sbar,1.0,0.12838423957189724,0.24725528688506562,0.03174368198687044,0.48815937944364046,0.4881593794436406,models,hadron,crossover_possible
190.0,0.0,0.0,-0.12,s,us_to_us,u,2.0,0.2556118637667511,0.19976269440720384,0.10212342925698664,0.3074701870255998,0.3074701870255998,models,hadron,crossover_possible
