center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
-0.1,baseline,128,true,u,-0.12,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.05572559940284454,0.17172662534244879,0.15772960193650146,8.805195360265158,3.4588688941586216,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20149542985992308
-0.1,baseline,128,true,u,-0.12,uubar_to_uubar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.174521638135168,2.09991592698952,0.3983654292460886,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.4384982358080918
-0.1,baseline,128,true,u,-0.12,ud_to_ud,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.05572559940284454,0.17172662534244879,0.15772960193650146,8.805195360265158,3.4588688941586216,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20149542985992308
-0.1,baseline,128,true,u,-0.12,ss_to_ss,true,true,false,3.0522942112582996,128,22.488699745268537,59.38882343840773,0.07007541782195789,0.11737697583492088,0.0793669161033855,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.07910499644523587
-0.1,baseline,128,true,u,-0.12,udbar_to_udbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.03066125009348836,0.37166824393965026,0.27208772966085926,11.110209147627941,5.763882681521405,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2899817248615281
-0.1,baseline,128,true,u,-0.12,subar_to_subar,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.026651847795354202,0.3847961116347975,0.26939629598645476,18.25181863433793,5.810546006399052,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2270770674679949
-0.1,baseline,128,true,u,-0.12,ssbar_to_uubar,true,true,false,3.0522942112582996,128,22.488699745268537,42.608857442901815,0.20045335894766017,3173.459811806154,25.060677540380375,22.488699745268537,3.5665166819853766e-8,false,0.0,0.0,22.48869970960337,42.612326274430224,2.5341296660537664
-0.1,baseline,128,true,u,-0.12,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.097231642644904,0.1356360063973745,0.11600296397369812,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15486488685144756
-0.1,baseline,128,true,u,-0.12,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.11642172930042378,0.2876212743996638,0.19346958334220746,13.643208374525251,1.2019357465863738,false,0.0,0.0,12.441272627938877,50.822128781293436,0.19639563351289047
-0.1,baseline,128,true,u,-0.12,dubar_to_dubar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.03066125009348836,0.37166824393965026,0.27208772966085926,11.110209147627941,5.763882681521405,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2899817248615281
-0.1,baseline,128,true,u,-0.12,uubar_to_ssbar,true,true,false,3.0522942112582996,128,22.49074516637564,42.246450194910885,0.0015873526695737666,0.10746375025751626,0.05757810405699765,42.246450194910885,19.757750485307515,false,0.0,0.0,22.48869970960337,42.612326274430224,0.03538609686817916
-0.1,baseline,128,true,u,-0.12,us_to_us,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.11642172930042378,0.2876212743996638,0.19346958334220746,13.643208374525251,1.2019357465863738,false,0.0,0.0,12.441272627938877,50.822128781293436,0.19639563351289047
-0.1,baseline,128,true,u,-0.12,ssbar_to_ssbar,true,true,false,3.0522942112582996,128,22.488699745268537,59.38882343840773,0.16773719294556375,0.42470824504190774,0.33495932420078434,28.357306104396294,5.8686063947929235,false,0.0,0.0,22.48869970960337,59.754699517927065,0.2568388497090757
-0.1,baseline,128,true,u,-0.12,uubar_to_ddbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.14203452093493185,0.8778501940708544,0.2107937957722408,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2403955374974446
-0.1,baseline,128,true,u,-0.12,sbarsbar_to_sbarsbar,true,true,false,3.0522942112582996,128,22.488699745268537,59.38882343840773,0.07007541782195789,0.11737697583492088,0.0793669161033855,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.07910499644523587
-0.1,baseline,128,true,u,-0.12,usbar_to_usbar,true,true,false,3.0522942112582996,128,12.441288537557085,50.45530157882119,0.026651847795354223,0.3847961116347975,0.2693962959861759,18.25181863433793,5.810546006399052,false,0.0,0.0,12.441272627938877,50.822128781293436,0.22707706746795142
-0.1,baseline,128,true,u,-0.12,uu_to_uu,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.097231642644904,0.1356360063973745,0.11600296397369812,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15486488685144756
-0.1,baseline,128,true,u,-0.1,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.055832167146636094,0.17205125257983828,0.1579516231374792,8.798949089306214,3.4526226231996784,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2020660309856694
-0.1,baseline,128,true,u,-0.1,uubar_to_uubar,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.17443293028574075,2.090427752120719,0.3984623396250411,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.43972485305502984
-0.1,baseline,128,true,u,-0.1,ud_to_ud,true,true,false,3.0522942112582996,128,5.3463265017717045,42.246450194910885,0.055832167146636094,0.17205125257983828,0.1579516231374792,8.798949089306214,3.4526226231996784,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2020660309856694
