xi,method,calculation_sha,anchor_T_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,330.8402923018356,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,322.2137974998554,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,294.0528294497777,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.0,ambiguous,false,130.0,245.59254631398048,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.0947265625,ambiguous,false,147.0947265625,202.2467366362531,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,147.2197265625,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
-0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,160.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,361.0392798322485,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,360.39769456787957,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,353.43427465340096,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,331.2714172547812,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,ambiguous,false,120.0,308.60458519989356,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,130.9619140625,ambiguous,false,130.9619140625,291.2621803608695,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,5.0,ambiguous,false,5.0,378.9384984780486,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,20.0,ambiguous,false,20.0,378.4644575210202,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,60.0,ambiguous,false,60.0,372.80974794680264,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,90.0,ambiguous,false,90.0,360.7664868170258,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,100.0,ambiguous,false,100.0,354.1079949178991,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,106.9599609375,ambiguous,false,106.9599609375,348.37902231045484,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
