xi,T_MeV,cap,oracle_status,simulated_status,reason,candidate_count,selected_targeted_points,base_unique_points,global_reference_points,local_pool_points,geometry_gate
-0.5,160.0,160,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,0,99,641,0,False
0.0,5.0,160,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,160,161,641,885,False
0.0,20.0,160,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,160,161,641,884,False
0.0,60.0,160,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,160,161,641,861,False
0.0,100.0,160,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,160,161,641,436,True
0.0,120.0,160,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,160,161,641,691,True
0.0,130.9619140625,160,ambiguous_near_critical,ambiguous_near_critical,weak_or_unresolved_s_shape,0,160,161,641,467,False
0.0,131.0869140625,160,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,6,93,641,6,False
0.0,145.0,160,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,0,99,641,0,False
0.5,5.0,160,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,160,161,641,439,False
0.5,20.0,160,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,160,161,641,818,False
0.5,60.0,160,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,160,161,641,759,True
0.5,90.0,160,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,160,161,641,436,True
0.5,100.0,160,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,160,161,641,434,True
0.5,106.9599609375,160,confirmed_first_order,ambiguous_near_critical,weak_or_unresolved_s_shape,0,160,161,641,462,True
0.5,107.0849609375,160,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,6,93,641,6,False
0.5,120.0,160,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,4,95,641,4,False
-0.5,5.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,872,False
-0.5,20.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,932,False
-0.5,60.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,929,True
-0.5,100.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,895,False
-0.5,130.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,776,True
-0.5,147.0947265625,224,confirmed_first_order,ambiguous_near_critical,weak_or_unresolved_s_shape,0,224,161,641,452,True
-0.5,147.2197265625,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,4,95,641,4,False
-0.5,160.0,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,0,99,641,0,False
0.0,5.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,885,False
0.0,20.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,884,False
0.0,60.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,861,False
0.0,100.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,436,True
0.0,120.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,691,True
0.0,130.9619140625,224,ambiguous_near_critical,ambiguous_near_critical,weak_or_unresolved_s_shape,0,224,161,641,467,False
0.0,131.0869140625,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,6,93,641,6,False
0.0,145.0,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,0,99,641,0,False
0.5,5.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,439,False
0.5,20.0,224,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved,1,224,161,641,818,False
0.5,60.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,759,True
0.5,90.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,436,True
0.5,100.0,224,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate,1,224,161,641,434,True
0.5,106.9599609375,224,confirmed_first_order,ambiguous_near_critical,weak_or_unresolved_s_shape,0,224,161,641,462,True
0.5,107.0849609375,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,6,93,641,6,False
0.5,120.0,224,confirmed_monotone,confirmed_monotone,stable_no_s_shape,0,4,95,641,4,False
