xi,T_MeV,cap,oracle_status,result_status,reason,stage_used,stage_a_status,stage_b_status,stage_c_status,stable_candidate_count,stage_c_point_count,unique_solves,drawdown_mu,drawdown_width_rho,stage_b_geometry,stage_c_geometry
0.5,60.0,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,24,345,6.706369999999993,1.1187500000000001,converged,converged
0.5,90.0,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,24,345,2.0170569999999657,0.79375,converged,converged
0.5,100.0,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,24,345,0.6040100000000166,0.5499999999999998,converged,converged
0.5,106.9599609375,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,1,24,345,0.0012459999999805405,0.07499999999999996,converged,converged
0.5,107.0849609375,24,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
0.5,120.0,24,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
0.5,20.0,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,24,345,10.685347000000036,1.3125,converged,converged
0.5,5.0,24,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,24,345,11.108743000000004,1.33125,converged,converged
-0.5,5.0,48,ambiguous_near_critical,ambiguous_near_critical,stage_b_unresolved,stage_c,ambiguous_near_critical,ambiguous_near_critical,ambiguous_near_critical,1,24,345,71.745836,1.75625,classification_changed_or_unresolved:invalid->invalid,classification_changed_or_unresolved:invalid->invalid
-0.5,60.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,1,25,346,55.18416100000002,1.59375,converged,converged
-0.5,100.0,48,ambiguous_near_critical,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,32,353,31.486936000000014,1.4875,converged,converged
-0.5,130.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,40,361,9.713481000000002,1.1874999999999998,converged,converged
-0.5,147.0947265625,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,1,17,338,0.00022200000000793807,0.03125,converged,converged
-0.5,147.2197265625,48,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
-0.5,160.0,48,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
-0.5,20.0,48,confirmed_first_order,ambiguous_near_critical,stage_c_geometry_unresolved,stage_c,ambiguous_near_critical,ambiguous_near_critical,ambiguous_near_critical,1,37,358,69.62724799999995,1.71875,geometry_tolerance_exceeded,geometry_tolerance_exceeded
0.0,60.0,48,ambiguous_near_critical,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,1,25,346,23.45198399999998,1.4812500000000002,converged,converged
0.0,100.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,33,354,10.252274,1.2437500000000001,converged,converged
0.0,120.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,40,361,2.8716340000000287,0.9062500000000002,converged,converged
0.0,130.9619140625,48,ambiguous_near_critical,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,1,31,352,0.0018880000000081054,0.08749999999999991,converged,converged
0.0,131.0869140625,48,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
0.0,145.0,48,confirmed_monotone,confirmed_monotone,stage_a_certificate,stage_a,confirmed_monotone,not_run,not_run,0,0,99,0.0,0.0,not_run,not_run
0.0,20.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,ambiguous_near_critical,ambiguous_near_critical,confirmed_first_order,1,39,360,31.161436000000037,1.63125,geometry_tolerance_exceeded,converged
0.0,5.0,48,confirmed_first_order,ambiguous_near_critical,stage_c_geometry_unresolved,stage_c,ambiguous_near_critical,ambiguous_near_critical,ambiguous_near_critical,1,37,358,32.03671800000001,1.65625,geometry_tolerance_exceeded,geometry_tolerance_exceeded
0.5,60.0,48,confirmed_first_order,confirmed_first_order,stage_c_certificate,stage_c,confirmed_first_order,confirmed_first_order,confirmed_first_order,1,32,353,6.706369999999993,1.1187500000000001,converged,converged
